albanien,Albania
bezeugt,testified
lj,lj
kontrollierst,control
sweatshirt,sweatshirt
kanntet,kanntet
bezweifelt,doubts
masseur,masseur
grausames,cruel
mystischen,mystical
steril,sterile
insofern,insofar
beleben,revive
kz,concentration camp
hingerissen,enraptured
abtauchen,dive
poseidon,Poseidon
vaterschaft,fatherhood
schimpanse,chimpanzee
lebensart,way of living
corner,corner
entbindung,childbirth
meet,meet
runtergeladen,downloaded
tancredi,tancredi
benutzung,use
erscheinst,appearest
verlogen,mendacious
augie,augie
jørgen,jørgen
konstante,constant
begrub,buried
muslim,Muslim
dialoge,dialogues
canterbury,canterbury
pontus,pontus
freebo,Freebo
personalakte,personal acts
körbchen,basket
funkgeräte,radios
angeworben,recruited
transferieren,transfer
behandele,treat
durchsuchte,raided
auszuspionieren,spy
bereinigt,adjusted
holzkopf,numbskull
letzteres,the latter
herrenhaus,manor house
glenda,glenda
pediküre,pedicure
koffern,suitcases
überrollt,overrun
patel,patel
simsen,texting
ekligen,disgusting
goldstück,jewel
anlässen,occasions
rde,rde
reimen,rhyme
oberschwester,matron
sundance,Sun Dance
tiefere,deeper
funker,radio operator
misshandlung,maltreatment
dänischen,Danish
rennpferd,racehorse
ia,ia
vornherein,the outset
vergönnt,granted
etappe,stage
kiriu,Kiriu
einzureden,to convince
zusammenzubringen,bring together
jansen,jansen
erlischt,goes out
rachefeldzug,vendetta
befürworten,advocate
hilde,hilde
gefährte,fellow
abschaffen,abolish
abwimmeln,get rid of
verpatzt,botched
vorzeigen,show
militärisch,military
glades,everglades
kamele,camels
hierherzukommen,to come here
mitmache,mitmache
stiere,bulls
aristoteles,Aristotle
stumpfen,dull
schönheitswettbewerb,Beauty contest
ehrenamtlich,unsalaried
mussolini,mussolini
festbinden,tie down
reiseführer,travel Guide
komplexer,more complex
stumpfe,dull
derjenigen,that
caligula,caligula
mopp,mop
hackte,chopped
herberge,hostel
schweigend,silently
coyote,coyote
entrinnen,escape
bogart,bogart
eagles,eagles
schnitzen,to carve
begabte,gifted
waschsalon,launderette
rechnete,expected
barbar,barbarian
zuvorgekommen,preempted
network,network
unbegrenzt,unlimited
carola,carola
vereinfachen,simplify
tortur,torture
krisen,crises
virtuellen,virtual
hörensagen,hearsay
fernand,fernand
vertragt,bear with
aufzuholen,catch up
frischem,fresh
steed,steed
same,seed
totengräber,mortician undertaker
tribunal,tribunal
taktlos,tactless
aufschrift,inscription
entspannend,relaxing
hinauszögern,put off
geschickter,clever
postboten,post offered
javi,javi
pavel,pavel
suzuki,suzuki
modifizieren,modify
archäologe,archaeologist
wonderful,wonderful
selbstjustiz,selbstjustiz
fürwahr,forsooth
preiszugeben,reveal
verschmutzt,dirty
passwörter,passwords
schlitzaugen,slit eyes
vorläufigen,preliminary
series,series
matteo,matteo
massey,massey
abwegig,erroneous
würdige,worthy
abgesandte,envoy
kling,sounding
näherte,approaching
capri,capri
abbezahlt,paid off
schliefst,Were Sleeping
kastrieren,castrate
wegpusten,wegpusten
weiterzugeben,to pass
lausig,lousy
aspen,aspen
pit,pit
ryu,ryu
fügung,coincidence
fünft,fifth
steinzeit,stone age
wich,more
britannien,Britain
sterblichkeit,mortality
hausarzt,family doctor
diabetiker,diabetic
vala,vala
immigranten,immigrants
wladimir,vladimir
hinzuziehen,consult
vereinbarungen,agreement
señores,señores
australier,Australian
léa,léa
staff,staff
broken,broken
radcliffe,radcliffe
save,Save
sicherheitsgurt,safety belt
schäbige,shoddy
al-qaida,al-Qaida
besserwisser,Know-it-all
barnett,barnett
gottverdammtes,goddamn
entstehung,formation
läufts,läufts
ranfahren,pull over
gerüst,framework
initiieren,initiate
vegetarierin,vegetarian
rattert,rattles
überschrieben,overwritten
ausgeheckt,concocted
aston,aston
emitter,emitter
wohnhaus,residential building
besprachen,discussed
aufrichtige,sincere
einzujagen,instill
todesengel,death Angel
feilschen,haggle
morten,morten
geltend,contends
verzögerungen,delays
blackouts,blackouts
lisas,lisa
vorzugsweise,preferably
bekloppte,Batty
oval,oval
bevorzugte,preferred
lucinda,lucinda
keime,germs
tauch,dip
selbstmorde,suicides
getröstet,comforted
amtlich,official
intrige,intrigue
umkreisen,circle
spaniens,spain
geheiß,behest
dear,dear
césar,césar
tänzchen,tänzchen
einschreiten,intervene
standing,standing
konsultieren,consult
kapstadt,cape town
jurastudium,legal studies
rasierklinge,razor blade
hafer,oats
anhang,attachment
providence,providence
gibbons,gibbons
leviathan,Leviathan
investiere,investing
como,como
kehlen,throats
fernbleiben,stay away
kuschelig,cuddly
kap,cape
abschicken,send
jule,jule
überfalls,raid
qi,qi
anzetteln,instigate
niedergeschossen,shot down
wyler,wyler
geometrie,geometry
traummann,dream man
aggressionen,aggressions
antik,antique
stoppe,stop
gehweg,side walk
ehemannes,before man
opern,operas
regis,regis
nietzsche,nietzsche
zier,ornamental
verdien,earn
raufgehen,pop up
foxy,foxy
alleinsein,to be alone
rehabilitation,rehabilitation
hepatitis,hepatitis
caterer,caterer
industrielle,industrial
boshaft,maliciously
ruhestörung,disturbance of the peace
nazareth,nazareth
transponder,transponder
kimura,kimura
hinrichtungen,executions
ordnungsgemäß,properly
salutieren,salute
sicherheitsteam,security team
unnütz,useless
untersuchten,investigated
mcnamara,mcnamara
zuvorkommen,forestall
poppen,poppen
faraday,faraday
anderenfalls,otherwise
kronjuwelen,crown jewels
günstigen,Great
eigenartiges,strange
ros,ros
dienstboten,service offered
beherbergt,houses
étienne,étienne
hektik,hustle and bustle
ground,ground
schlupfloch,loophole
uh-oh,uh-oh
klarinette,clarinet
angreifbar,open to attack
anbau,cultivation
supreme,supreme
erbarmungslos,relentless
verheerend,devastating
generalsekretär,Secretary General
muttersöhnchen,namby-pamby
päpstliche,papal
adonis,Adonis
nunmal,simply
aufwischen,mop up
hyänen,hyenas
mont,mont
sicherheitsfirma,security company
cos,cos
bürgerin,citizen
gerichtsvollzieher,bailiff
kameradschaft,camaraderie
eindringt,penetrates
himmelreich,Heaven
kilgrave,kilgrave
bedürftigen,needy
drummond,drummond
verwendeten,used
eingeworfen,smashed
verwahrt,secures
anriefen,phoned
joeys,joeys
schroff,brusquely
stichwunde,stab wound
jeppe,jeppe
hexenzirkel,hexenzirkel
pai,pai
termiten,termites
hewitt,hewitt
honda,honda
klebstoff,adhesive
zwirn,thread
abgewischt,wiped
forensischen,forensic
operationssaal,operating room
feuerwache,fire station
adiós,adiós
schuldschein,promissory note
chirurgische,surgical
handarbeit,manual work
pensionierung,retirement
göttlicher,divine
bezog,related
ernsthafter,more serious
tribun,tribune
sie-,they-
pik,spade
shiva,shiva
nervige,annoying
pancho,pancho
bedenkzeit,time to think
römern,Romans
elektronisch,electronic
zusätzliches,additional
austreten,escape
vollgestopft,crammed
elementen,elements
schweigsam,silent
leidenschaftlicher,passionate
dayton,dayton
koordiniert,coordinated
gönner,patron
zeitweise,at times
schrille,shrill
buchte,booked
beliebtesten,popular
echtheit,authenticity
fremdgehen,to cheat on
ministers,Minister
goldig,cute
macken,macken
babyparty,baby shower
entschuldigte,excused
stromversorgung,power supply
sommersprossen,freckles
chiang,chiang
rochester,rochester
tribune,tribune
feedback,feedback
schnuppe,shooting
boat,boat
dagewesen,been there
psychologisches,psychological
self,Weekly
esposito,esposito
vorfalls,incident
chic,chic
einzuschätzen,assess
gekackt,shitting
ampullen,ampoules
wische,wipe
hochgegangen,gone up
latschen,traipse
unermüdlich,tirelessly
schulze,schulze
bös,nasty
streichmusik,spreadable music
rambaldi,rambaldi
hinkommt,get there
lebenswert,liveable
verdrehte,twisted
massig,moderate
rüssel,trunk
revolutionären,revolutionary
fringe,fringe
anne-marie,Annemarie
antwerpen,Antwerp
belang,importance
verschleiert,veiled
prosit,Cheers
gesuchten,sought
ladendiebstahl,shoplifting
qualifikation,qualification
vormarsch,advance
röntgenbild,X-ray photograph
schärfe,sharpness
vermeidet,avoids
vorladen,subpoena
vaterfigur,father figure
morley,morley
mittagsschlaf,Nap
tischler,carpenter
nbc,nbc
unentschlossen,undecided
vorbeigegangen,passed
milieu,milieu
eeg,eeg
grievous,grievous
zurückzuführen,attributable
lumen,lumen
runkle,Runkle
konkubine,concubine
muy,muy
c-4,c-4
verbliebenen,remaining
zunutze,advantage
zuzuschreiben,attributable
abschlussprüfung,final exam
howe,howe
pferdeschwanz,ponytail
unaufhörlich,unceasingly
stacheln,spur
medical,medical
polizeischule,police academy
stilles,silent
tageszeit,daytime
entdecker,discoverer
ausrücken,move out
bedrückende,depressing
weitersagen,pass on
formsache,formsache
polizeibeamten,police officers
selbsthilfegruppe,support group
rückstände,arrears
gesenkt,lowered
verfügbare,available
osteuropa,Eastern Europe
rülpsen,burp
fingerspitzen,fingertips
zerbrochene,broken
dehoh,dehoh
heels,heels
nebenher,on the side
abrahams,abrahams
clement,clement
stummen,mute
samba,samba
science-fiction,science fiction
brainiac,brainiac
fillmore,fillmore
losschicken,losschicken
laird,laird
wutanfall,tantrum
abkratzen,scrape
whitechapel,whitechapel
nacktheit,nudity
turkey,turkey
häftlingen,prisoners
unterwerfung,submission
kratze,scabies
teilzeit,part time
klarzumachen,make clear
börsenmakler,stockbroker
lagert,outsourced
tobin,tobin
verantwortungsbewusst,responsibly
gewölbe,vault
einschläft,falls asleep
erzählungen,stories
erdöl,oil
revue,revue
rattengift,rattengift
ope,ope
tulpen,tulips
handele,IN QUESTION
gedenkt,commemorates
ih,ih
unrein,unclean
terroranschlag,terrorist attack
schulgeld,school fees
künstlerisch,artistic
hawking,hawking
genialität,genius
finanzministerium,Ministry of Finance
suits,suits
brie,Brie
grotte,grotto
kulturellen,cultural
vw,vw
gemeinderat,parish council
flüchtlingen,refugees
inc,inc
goldstein,goldstein
entmutigen,discourage
sarkophag,sarcophagus
hair,hair
arden,arden
kommandieren,command
schmiert,lubricates
baupläne,building plans
fortune,fortune
erblicken,catch sight of
gegnern,adversaries
bakersfield,bakersfield
galopp,gallop
moskitos,mosquitoes
nostalgie,nostalgia
quiekt,squeals
unverschämter,shameless
verurteilter,convicted
rugby,rugby
beibrachte,taught
bürgerwehr,militia
erwache,wake up
biege,bending
gefängnisstrafe,imprisonment
downey,downey
bemerkbar,noticeable
dementsprechend,accordingly
realisierte,unrealized
turteltauben,turtledoves
heimlicher,secret
verleiten,mislead
lichtwächter,light keeper
rosita,rosita
meisterstück,masterpiece
auffälliges,showy
marsmenschen,martians
polster,pad
tesla,tesla
interferenzen,interferences
militärdienst,military service
schizophren,schizophrenic
nichtraucher,non smoking
flugplan,flight schedule
skandale,scandals
ließest,didst
largo,largo
sterns,sterns
badger,badger
jekyll,jekyll
augenbraue,eyebrow
kriegsschiffe,warships
spartakus,spartakus
mängel,defects
ablenkt,distracts
leichensack,corpse sack
portwein,port wine
ultra,ultra
zuckt,twitches
keys,keys
isl,isl
gähnen,yawning
slam,slam
dumont,dumont
folg,success
päpstlichen,papal
gemeinsamkeit,common ground
eldridge,eldridge
sook,sook
sehkraft,eyesight
gewußt,known
kümmerten,took care
möhren,carrots
saatgut,seeds
südstaatler,Southerner
vergifteten,poisoned
verfüttern,feed
tulsa,tulsa
rhoda,rhoda
booker,booker
helmer,helmer
gabriella,gabriella
täuschte,deceived
glühende,glowing
omelette,omelette
einfügen,insert
geklungen,sounded
ausbrüche,outbreaks
gymnastik,gymnastics
erz,ore
liedern,outsource
mechanische,mechanical
fälschlicherweise,falsely
hungerstreik,hunger strike
dreckstück,dreck pieces
beschuldigungen,accusations
weibliches,female
preiset,praise
serien,series
wc,WC
spongebob,Spongebob
ausgefressen,ausgefressen
ordnete,ordered
bürge,guarantor
kwon,kwon
gefährt,companions
beatmungsgerät,ventilator
drohe,threatened
träumten,dreamed
gängen,transitions
vertiefen,deepen
skandalös,scandalous
rohes,raw
browns,browns
gannicus,Gannicus
patch,patch
allgemeinheit,generality
ungelösten,unresolved
milord,milord
verleugnet,denied
notrufzentrale,emergency call center
arts,arts
durchdreht,by turns
hyperantrieb,hyper drive
zugestellt,delivered
unmögliches,impossible
abgesegnet,approved
jammerschade,pity
bestiegen,ascended
rekorde,rekorde
zodiac,zodiac
provinzen,provinces
blickfeld,field of vision
künstliches,artificial
archäologie,archeology
texten,texts
fink,finch
meidet,avoids
amputieren,amputate
warlock,warlock
untersteh,with stand
century,century
säßen,were sitting
brabbelt,babbles
eko,eko
algebra,algebra
juristisch,legal
kei,kei
hotline,hotline
forelle,Trout
immobilienmakler,real estate agent
galant,gallantly
zugführer,motorman
annonce,advertisement
verschrecken,scare
epi,epi
tolerant,tolerant
durchdringt,permeates
bai,bay
ammoniak,ammonia
fergus,fergus
parkplätze,parking
liars,liars
aufleben,revive
fuße,the foot
packard,packard
optimist,optimist
hinterhältiger,underhanded
animal,animal
alfons,alfons
rangekommen,hard to get
bibliothekarin,librarian
tylers,tyler
entblößt,bare
talia,talia
einzuführen,introduce
verschwiegenheit,secrecy
todestrakt,death tract
corvette,corvette
abgewandt,turned away
moskauer,Muscovite
conor,conor
glätten,smooth
zusammenfassen,sum up
arya,arya
extras,extras
erzählerin,narrator
amnestie,amnesty
röhren,roar
feierte,celebrated
loving,loving
tröstlich,comforting
verkrüppelt,crippled
bordstein,curbstone
skol,skol
volleyball,volleyball
horrorfilme,horror movies
berichteten,reported
deepthought42,deepthought42
stampede,stampede
fertiggestellt,completed
petersilie,parsley
schokoladenkuchen,chocolate cake
mexikanisches,Mexican
lichten,thin
scharen,gather
hielte,would consider
mccann,mccann
reinhold,reinhold
hinhauen,plonk
rausgehst,go out there
robben,seals
kree,kree
gehorchst,obey
kammerflimmern,ventricular fibrillation
terroristische,terrorist
unternehme,corporate
gekreuzt,crossbred
hyäne,hyena
aufgab,gave up
gefälligkeiten,favors
mutiert,mutates
völkern,overpopulate
pittman,pittman
stubbs,stubbs
jennie,jennie
seitens,by
besiege,defeat
broker,broker
gezittert,shaken
svetlana,svetlana
josefine,josefine
collin,collin
errungen,won
unrealistisch,unrealistic
zwischenstopp,layover
festmachen,moor
malin,malin
selim,selim
eingezahlt,paid
mitsuko,mitsuko
getrennten,separate
abendschule,evening school
verfolgungswahn,paranoia
geisteszustand,state of mind
konzentrationslager,concentration camp
blaubeeren,blueberries
vorfällen,incidents
lilah,lilah
piss,piss
kruzifix,crucifix
bhs,bhs
mitgezählt,counted in
kenna,kenna
pult,teacher's desk
beliefert,supplies
anbiete,offering
kolja,kolja
ganove,crook
tauge,am good
versah,knew
zertreten,crush
gefängniszelle,jail cell
ermutigend,encouraging
strafregister,records
birdie,birdie
vincents,vincent
mangelnde,lack of
stillschweigen,remain silent
liedchen,ditty
winchesters,winchesters
frisieren,comb
gaspedal,accelerator
fischchen,fishes
trainings,trainings
penicillin,penicillin
zuweilen,occasionally
bildlich,pictorially
arbeitskräfte,workforce
finderlohn,reward for the finder
anni,anni
gendarmerie,gendarmerie
moves,moves
einschnitt,incision
sparst,save
erliegen,succumb
eifersüchtige,jealous
arie,aria
mörderischen,murderous
nische,niche
sucre,sucre
mckenna,mckenna
verordnet,decreed
mineralien,minerals
einsätzen,inserts
mulligan,mulligan
guantanamo,guantanamo
ausgeübt,exercised
kombinationen,combinations
performance,performance
takashi,takashi
errätst,guess
müllkippe,dump
wise,wise
schussfeld,shot field
weggehe,go away
connolly,connolly
kosmischen,cosmic
inspiziert,inspected
groupies,groupies
bürgerlichen,civil
automat,machine
crewmitglieder,crew members
parties,parties
30er,30
château,chateau
arif,arif
gilda,gilda
voltron,voltron
hereinkam,came
erträglich,bearable
quietschende,squeaky
entspannte,relaxed
saito,saito
überraschst,to surprise
rapide,rapid
berüchtigt,notorious
jp,jp
zuzustimmen,agree
übereinstimmt,matches
schikane,chicane
veröffentlichte,published
verlang,verlang
tischgebet,grace
egoistische,selfish
rundfunk,broadcast
wildschweine,wildschweine
rumhängt,hangs out
sandwichs,sandwichs
verwöhnte,spoiled
peppone,peppone
komplexen,complex
freudige,joyous
herausgeben,issue
flippte,freaked
monolog,monologue
eingehender,incoming
milchstraße,milky Way
füssen,füssen
herzattacke,heart attack
automatischen,automatic
angezettelt,instigated
rausrücken,come out with
blinkt,flashes
positiver,positive
aufmachung,makeup
nachschlag,second helping
alamo,alamo
klacken,rattle
susans,susans
abschiedsparty,farewell party
kündigst,cancel the service
emmanuelle,emmanuelle
garber,garber
glotz,glotz
quatschst,quatschst
nachruf,obituary
kühles,cool
gefrorene,frozen
verpassten,missed
kerzenlicht,candlelight
ekelhafte,disgusting
elfe,elf
okinawa,okinawa
schatzsuche,treasure hunt
born,fount
gläubige,believer
abtrocknen,dry
banfield,banfield
visionär,visionary
sailor,sailor
axl,axl
einzukaufen,shopping
europe,europe
rekorder,recorder
drein,moreover
capital,capital
nunja,Oh well
bukarest,Bucharest
lebensmittelladen,food store
nightingale,nightingale
swat-team,swat team
negatives,negative
penguin,penguin
rembrandt,rembrandt
eingenickt,dozed
betätigt,actuated
kosaken,cossack
most,must
sträflinge,convicts
fokussieren,focus
mitspieler,mitspieler
zorns,wrath
kom,kom
abweisend,repellent
boca,boca
auflagen,pads
herfallen,descend
welcome,welcome
kühlt,cools
4-mal,4 times
morphin,morphine
schnauzer,schnauzer
feuerten,fired
zarin,czarina
sync,sync
kriegserklärung,declaration of war
absprung,jump
hinziehen,drag
sitting,sitting
hunnen,hunnen
körner,grains
frühstücke,have breakfast
durchführt,performs
leuchtenden,bright
menschlichem,human
klavierspiel,klavierspiel
dauerhaften,permanent
mausoleum,mausoleum
barrys,barry
organisiertes,organized
gregg,gregg
unangenehmes,unpleasant
verschanzt,entrenched
aufzuwecken,wake
produzentin,producer
ianto,ianto
buchten,booked
kontrollpunkt,checkpoint
liebevollen,loving
klos,klos
senats,senate
italienerin,Italian
monarch,monarch
naturwissenschaften,natural sciences
vorstellte,imagined
walhalla,walhalla
betrachtest,viewing
bozz,bozz
groot,groot
rollte,rolled
schlüsselkarte,key card
verbotenes,prohibited
fernsteuerung,Remote control
erneuerung,renovation
geschäftsführerin,Manager
fernsehsender,TV channel
anstehen,queue
diva,diva
bismarck,Bismarck
valentina,valentina
vorsehen,provide
fettarsch,fat ass
perspektiven,perspectives
küsten,coastal
hoi,hoi
verlieh,awarded
stümper,bungler
geheimpolizei,secret police
verrechnet,charged
unvorhersehbar,unpredictable
arcadia,arcadia
rasseln,rattle
wehrst,wehrst
cafés,cafes
zartes,tender
erschiessen,shoot
geschuldet,owing
steigend,rising
reform,reform
jillian,jillian
gaskammer,gas chamber
röntgenaufnahmen,x-rays
tak,tak
imperiums,imperium
gutachter,expert
physiologie,physiology
tatsächliche,actual
vorgehabt,intended
unwesen,unwesen
yamato,yamato
draufsteht,it says
wüsstet,only knew
saht,did see
anzumachen,to make
nudel,noodle
berechenbar,calculable
annullieren,cancel
diebstähle,thefts
sonderbehandlung,special treatment
empfindungen,sensations
verläßt,leaves
nigeria,Nigeria
anhat,wears
wash,wash
bohrt,pierced
umzusehen,to see
einigkeit,unity
boxershorts,boxer shorts
einzuschüchtern,intimidate
orsini,orsini
retterin,savior
spector,spector
elektroschocks,electro shocks
vogelzwitschern,bird chirping
sgt.,sgt.
plum,plum
dienern,bow and scrape
erschweren,aggravate
überzeugende,compelling
schmackhaft,tasty
flosse,fin
schlitzohr,sly fox
irgendwelcher,any
rosario,rosario
pao,pao
halbinsel,peninsula
referenz,reference
opi,opi
toupet,toupee
absprechen,arrange
anal,anal
ordinär,vulgar
teamarbeit,Teamwork
verticken,flog
grundriss,Layout
nektar,nectar
krankenpfleger,male nurse
hindeutet,suggesting
wegläuft,strays
gebeamt,beamed
hindi,Hindi
verschossen,Missed
verbrecherin,criminal
zauberwort,magic word
beerdigungsinstitut,undertaker
tampon,tampon
madchen,girl
gehort,belongs
komödien,comedy
kurieren,cure
remember,remember
bitterkeit,bitterness
spektrum,spectrum
kipp,kipp
chefinspektor,chief inspector
andeutung,intimation
buchführung,accounting
geruchssinn,sense of smell
sinnlich,sensual
angepiept,paged
spekuliert,speculation
vorausgesehen,anticipated
spange,clasp
etiketten,labels
altenheim,Old people's home
rae,rae
höhlenmenschen,cave men
hip-hop,hip hop
erwirken,obtain
abhole,fetch
linn,linn
hochbeamen,beam up
hausbesuch,home visit
ride,ride
hochhalten,uphold
aufzuschreiben,write
watte,wadding
erweiterte,Advanced
spannendes,exciting
ausmalen,imagine
indy,indy
gal,gal
begründen,justify
supermans,super mans
checkst,checkst
vergewaltigungen,rapes
allerletzten,very last
mitgegangen,went along
fazit,Conclusion
enthoben,dismissed
trikots,jerseys
auflauf,Casserole
verscheißern,take the piss out of
pick,pick
augäpfel,eyeballs
grashüpfer,grasshopper
ausradiert,eradicated
qualifikationen,qualifications
meilenstein,milestone
gigolo,gigolo
serrano,serrano
aufgeblasen,inflated
noonan,noonan
einfaltspinsel,simpleton
verworfen,discarded
stemmen,to stem
anhängern,keychains
wälzen,roll
norbit,norbit
abmachen,agree
übertrage,about wearing
vertraulichen,confidential
janus,janus
bauteil,component
caterina,caterina
dove,dove
zerfleischen,lacerate
mitzi,mitzi
schulleiter,principal
rationen,rations
losmachen,unloose
nic,nic
fraglich,questionable
flennen,blubber
bed,bed
stimuliert,stimulated
superhirn,super brain
weglief,running away
öden,dreary
mentalen,mental
fraiser,fraiser
bone,bone
gedeiht,flourishes
ryker,ryker
riverdale,riverdale
weggeblasen,blown away
exquisit,exquisite
angebrüllt,shouted
computers,computers
datiert,dated
künstlers,artist
vibrationen,vibrations
stehenden,standing
meide,shun
huey,huey
maroni,maroni
besaßen,had
arbeitsamt,employment exchange
starsk,starsk
geschlüpft,hatched
zeitgefühl,sense of time
einstehen,stand up
ketzerei,heresy
kellnern,wait on tables
schienbein,shin
naschen,nibble
deusex72,deusex72
durchfahren,go through
küchentisch,kitchen table
cedar,cedar
lösegeldforderung,ransom requirement
gestarrt,staring
phineas,phineas
unfehlbar,infallible
quiz,quiz
ungesehen,unseen
podest,podium
vorgewarnt,forewarned
trockener,dry
hauptverdächtiger,any suspicious
beruhigst,soothe
replikator,replicator
eindeutigen,clear
beträchtlich,considerably
erarbeitet,Developed
maybe,maybe
zugegen,present
mädchennamen,girl names
beschreibungen,descriptions
einöde,wasteland
glühenden,glowing
belauschen,eavesdrop
einwohnern,a population
schlepper,tractor
pudern,powder
beschwer,complain
früchten,fruits
wespe,wasp
etablissement,etablissement
spade,spade
gutaussehende,good looking
qualle,jellyfish
shi,shi
mittelmäßig,mediocre
uncle,uncle
murmeltier,marmot
rien,rien
vorhergesehen,anticipated
godmode,godmode
heimreise,home trip
polizeipräsidium,police headquarters
hemisphäre,hemisphere
ent,ent
auseinandersetzen,deal with
abzubringen,dissuade
miki,miki
zielst,are targeting
gefügig,submissive
isabell,isabell
unbegrenzte,unlimited
freisetzen,release
stuttgart,Stuttgart
unheimlicher,sinister
taschendieb,pickpocket
martial,martial
unbedeutende,insignificant
einbezogen,included
quebec,quebec
gekrümmt,bent
senators,senator
verschlägt,verschlägt
endstadium,final stage
fool,fool
speedster,speedster
schone,lovely
trenton,trenton
marvel,marvel
armenier,Armenian
untertitel-werkstatt,subtitle-workshop
zypern,Cyprus
initiiert,initiated
filip,filip
tränke,watering place
pechsträhne,pitch rove
dampfbad,steam bath
gemütlichen,cozy
mützen,hats
taktiken,tactics
heli,heli
alpha-quadranten,alpha-quadrants
privatnummer,private number
beurteile,judge
hester,hester
einleitung,introduction
trauernde,grieving
goldbarren,gold bar
millennium,millennium
außerirdisches,extraterrestrial
verruf,disrepute
elektrik,electrics
kapseln,capsules
zeitliche,time
probezeit,probation
jelly,jelly
übergangen,passed over
nervöse,nervous
gehälter,wages
narcisse,narcisse
zweierlei,dual
repräsentanten,representatives
komposition,composition
startbahn,runway
privatsache,private thing
palmers,palmers
schienst,schienst
lao,lao
abhang,slope
bit,bit
patton,patton
dreckloch,sinkhole
pilates,pilates
strafmaß,penalties
grub,grub
walther,walther
rage,rage
schaft,shaft
fehltritt,misstep
nur-,just-
perfect,perfect
erdal,erdal
schlappschwänze,limp cocks
mrd.,billion.
reingeritten,purely ridden
mordermittlung,murderous determination
dunst,haze
attackieren,attack
cunningham,cunningham
age,age
nörgeln,niggle
eifersüchtiger,jealous
haines,haines
rama,rama
erzähltest,narrative test
unzurechnungsfähig,of unsound mind
sevilla,Seville
qu,qu
done,done
balls,balls
obliegt,incumbent
fahnden,search
vormittags,morning
geistliche,minister
übersinnliche,extrasensory
fessel,fetter
faß,barrel
neptun,Neptune
stätte,site
romano,romano
gemüter,minds
gezähmt,domesticated
schuhverkäufer,shoe salesman
lehrplan,curriculum
brüllte,shouted
chihuahua,chihuahua
basar,bazaar
gescherzt,joking
hintrittst,hintrittst
those,Those
feuerwerkskörper,fireworks
theodor,theodor
verlagern,shift
ausgeschlagen,knocked out
souvenirs,souvenirs
versperren,block
dozent,lecturer
raubte,robbed
anhast,are wearing
talentshow,talent show
fummeln,fumble
hängte,suspended
angler,angler
andys,andys
kardinals,cardinal
zufriedenstellend,satisfactory
wiederzubeleben,revive
ungarisch,Hungarian
mitbekommt,mitbekommt
brilliant,brilliant
cheetah,cheetah
unvermeidliche,unavoidable
obergeschoss,upstairs
fragwürdig,questionable
kennenlerne,get to know
ähem,ahem
meerjungfrauen,mermaids
dreifacher,triplicate
losbinden,untie
christiane,christiane
hinbiegen,hinbiegen
geisha,geisha
unbeschadet,unscathed
smaragde,emeralds
imponieren,impress
pitcher,pitcher
yann,yann
aufzubringen,apply
kokosnüsse,coconuts
raushängen,raushängen
kaori,kaori
gore,gore
defibrillator,defibrillator
warpkern,warpcore
shelton,shelton
umhin,help
umgehört,a listen
vorräten,inventories
etikette,etiquette
harkness,harkness
entsprach,corresponded
einschlägt,strikes
metropolitan,metropolitan
schlafenden,sleeping
allzeit,ever
blu,blu
gelehrte,scholar
luftunterstützung,air support
stammkunden,regular customers
sicherheitsfreigabe,security release
städtische,urban
häufchen,small heaps
sterilisieren,sterilize
vorhersage,forecast
lenden,lumbar
angeldream,angeldream
gleason,gleason
desinfizieren,disinfect
kanarienvogel,canary
rasur,shave
pearce,pearce
hecken,hedges
wegzubringen,mop
jai,jai
plastische,plastic
genährt,nourished
näheres,closer
ferrara,ferrara
heuerte,hired
debs,debs
nachhauseweg,way home
par,par
arn,arn
johnnys,johnnys
greis,old man
magnetischen,magnetic
aggressiven,aggressive
komponisten,composers
tusse,tusse
agenturen,agencies
silbe,syllable
bubber,bubber
herauszubekommen,find out
obsession,obsession
zurückfliegen,fly back
unaufhaltsam,unstoppable
homerun,homerun
ißt,eats
dam,dam
gerüstet,ready
mucho,mucho
zitterte,shaking
reckless,reckless
giants,giants
spielzug,a turn
dumbo,dumbo
rezession,recession
lennier,Lennier
positioniert,positioned
schlafplatz,berth
teeger,teeger
traurigerweise,sadly
weggeflogen,flown away
lydecker,Lydecker
merkur,Mercury
versetz,staggered
kreml,kremlin
trautes,trautes
zusammenschlagen,beat up
abgeschlagen,cut off
tarnvorrichtung,cloaking Device
selbstgefällig,complacent
steuerbehörde,tax authority
faszinierendes,fascinating
grants,grants
knebel,gag
abhanden,lost
entjungfert,deflowered
diem,diem
hiroshima,hiroshima
zurückzuverfolgen,trace
manon,manon
feingefühl,sensitiveness
herumstehen,stand around
spazierfahrt,Sea trips
audio,audio
verschütten,spill
gabriela,gabriela
parkte,parked
doppelagent,double agent
erhabener,sublime
starkem,thick
bezirks,district
vietnamesisch,Vietnamese
forellen,trout
versuchungen,temptations
ares,ares
kürbisse,pumpkins
wissenschaftliches,scientific
telegramme,telegrams
julias,Juliette
integriert,integrated
geistiger,mental
vorletzte,penultimate
günstige,favorable
fin,fin
selfie,selfie
vortex,vortex
beschuldigten,accused
hess,hess
östliche,Eastern
rutledge,rutledge
konditionen,conditions
ueber,over
debüt,debut
faye,faye
klammert,bracketed
humbug,humbug
zee,zee
abgetrieben,aborted
